CLUE,ANS,POS
Very ugly building ,eyesore,1
Oil on wool ,lanolin,1
Medical practitioner ,doctor,2
Giraffe-like animal ,okapi,10
Indian dish ,samosa,1
Disease of birds ,psittacosis,3
Small lump ,nodule,9
Computer files printed out on paper ,hard copy,1
King Richard 1st had nickname like Latin hero ,lionheart,1
Large reptile,crocodile,2
Surgeon's knife ,scalpel,1
Pale and wan (6) ,pallid,8
Legal possessor ,owner,1
Terror ,panic,1
Yellow fruit ,banana,1
House robber ,burglar,1
Bony framework ,skeleton,1
Highly decorated,ornate,1
"Obstinate, bullheaded ",stubborn,1
Outlaw,bandit,6
