CLUE,ANS,POS,FOUND IN
Extremist ,ultra,9,Ultraconservative or ultrapolicy
Brave guy ,hero,7,Heroic
Spoof ,hoax,7,Hoaxer
"Orson, film director ",welles,20,"Cannes contender (if Orson Welles was at the film festival, though not directly describing his occupation)"
Feral ,wild,1,Wild-born
Famous person ,name,18,Recognized name
Bubbles ,foam,5,Foamy
Appealing to emotion rather than actuality ,sentimental,1,Sentimental appeal
Surprise greatly or daze ,stun,12,Stunned
Seraph ,angel,1,Angelic
'. . . . . . speaks louder then words' ,action,2,Actions rather than rhetited promises
Culinary herb ,coriander,10,Cilantro (Coriander)
