CLUE,ANS,POS
Cold season ,winter,1
Landed property ,estate,1
Sheep meat ,mutton,1
Work imitating various sources,pastiche,8
Withdraw ,pull out,8
Illuminate ,light,1
Get ready ,prepare,1
Not recognised by anyone ,unknown,13
Deride - mock ,jeer,3
By way of ,via,2
Hooked claw ,talon,1
Light-sensitive membrane in the eye ,retina,1
Carved or cast figure ,statue,1
Door support ,hinge,1
Consented ,agreed,1
One of the Great Lakes,huron,3
Postpone ,defer,2
Countryside walker,rambler,3
Dickens novel,hard times,7
Bringer of freedom,liberator,1
A pair of performers ,duo,2
Still up in the air?,undecided,8
Highly seasoned meat and vegetable stew,ragout,2
Sheaths for guns ,holsters,2
Mitigate; forgive ,excuse,9
"Inherent ability, natural talent ",aptitude,2
Lightest and most abundant of all substances,hydrogen,1
Take issue with ,disagree,3
Association of sports teams ,league,1
Double-dealing ,two-faced,3
Purple,violet,10
Abstract or general ideas ,concepts,1
Nut ,cashew,2
Frocks ,dresses,1
Responsive to stimulus ,reactive,1
Complacent ,smug,2
