CLUE,ANS,POS
Edict ,decree,2
Town in county Fermanagh ,enniskillen,3
Turning point ,pivot,6
Woman's bedroom ,boudoir,2
Holy ,divine,3
Trial ,hearing,8
Secret - mysterious,arcane,12
Close by,adjacent,2
Line of stakes as a defence,palisade,1
"Adulterated, tainted ",impure,4
Motor vehicle for the seashore ,beach buggy,1
Paterfamilias ,patriarch,1
Sure ,certain,2
Fleet commander,admiral,1
Selected ,chosen,1
Proper; owed ,due,5
The official who ensures fair play ,referee,1
Dispossess ,deprive,6
Process of ending ,cessation,5
Tudor houses were often so ,half-timbered,3
Man-made jet of water ,fountain,1
Christmas decoration ,tinsel,1
S. African mongoose ,meerkat,2
Supporter or fan ,admirer,2
Season ,spring,2
Police rank ,superintendent,9
Fortress,castle,1
Took a secret look ,peeked,1
Extreme fear ,terror,3
Defame falsely,libel,2
Cut down on ,reduce,1
Busy insects ,ants,2
