CLUE,ANS,POS,FOUND IN
Diminutive animal doctor ,vet,1,Vet (short for veterinarian)
Excessively instructive ,didactic,2,Overly didactic
Exclamation of pain - that hurt! ,ouch,1,Ouch!
Sign up ,enrol,1,Enroll
Rotary energy converter,turbine,1,Wind turbine
War god - chocolate bar - spoils,mars,1,Mars (as in the Roman god of war)
Takes control without authority ,usurps,1,Usurps power
French definite article ,les,4,Les amis (the friends)
Enfold ,wrap,1,Wrap around
Motif of intertwined initials ,monogram,1,Monogrammed love
