CLUE,ANS,POS,FOUND IN
Listen to,hear,2,Hearing
Save from danger ,rescue,5,Rescue spot
Sweetener ,sugar,1,Sugar substitute
Enclosed drain under a road or railway ,culvert,6,Hidden culvert
Prepared ,ready,1,Readymade
Large carnivorous fish ,sharks,19,Ocean's top predator (generally referring to sharks)
Residue of a fire ,ash,1,Ashes
Gem ,jewel,1,Jewelry piece
Impudence ,nerve,7,Nerve-wracking audacity
Spanish painter born in Greece ,el greco,10,Domenikos Theotokopoulos (El Greco)
Game bird (in a pear tree?),partridge,11,"Red-legged partridge (more commonly associated with open fields and grasslands than trees, but possible in varied landscapes)"
Blow - gentle touch - apoplexy ,stroke,3,Brushstroke
Narrow opening,slit,16,Narrow slit
Deport ,exile,2,Exiled
Slangily cheat with wood-working tool ,chisel,1,Chisel off
Angora fabric,mohair,6,Mohair-like
In a position to ,able,1,Capable
The art of growing ornamental dwarfed plants ,bonsai,1,Bonsai cultivation
Of figures ,numerical,1,Numerical digits
Group of clubs; about three miles ,league,15,Golf league (could have courses spread over the area)
Spread; improvise (jazz) ,jam,15,Jam session (jazz context)
Chair of the monarch ,throne,1,Throne holder
Admission ,entry,1,Entry granted
Sea between Italy and former Yugoslavia ,adriatic,1,Adriatic Gulf
MC in full ,master of ceremonies,11,Master of Ceremonies (MC)
100 years ,century,1,Century-old
Hitch ,snag,1,Traffic snag
'More . . . . . less speed' ,haste,8,Lesser haste
Ornament with slightly raised pattern,emboss,1,Embossed
Immediate ,instant,1,Instantaneous
Short-long metric foot ,iamb,1,Iambic
