CLUE,ANS,POS,FOUND IN
Trivial thing (half a pint?),small beer,11,Small beer (slang for something insignificant)
(Of snow) melt ,thaw,2,Thawing
The Roman emperor said to have made his horse a consul,caligula,1,"Caligula (Latin for ""little boots"") - The nickname given by Roman citizens due to his perceived eccentric behavior, but he is not directly linked with making his horse a consul."
Travelling company of entertainers ,circus,1,Circus troupe
Small African nocturnal primate with large eyes,bushbaby,1,"Bushbaby (Acinonyx jubatus) - Although not strictly a small African nocturnal primate, bushbabies are closely related and share similar features."
Step up the ladder - called for ,rung,9,Rung (singular form referring to the individual steps on a ladder)
Broad smile,grin,2,Grinning
Italian poet ,dante,2,Dante Alighieri
Scottish residence of the British royal family ,balmoral,1,Balmoral Castle
Fabric made from silky hair of angora goat ,mohair,2,Mohair: An exceptionally soft fiber obtained from the Angora goat that is often woven into luxurious fabrics and textiles.
Call before a court to answer an indictment ,arraign,1,Arraignment
Cambridge college ,emmanuel,4,Emmanuel College
Take a loan of ,borrow,1,Borrower
Wickedness ,evil,14,Evilness
Reconnaissance unit ,patrol,8,Patrol squad
Bill - - in 'Oliver Twist' ,sikes,11,Shrewd-Bill (referring to the shrewdness of characters like Sikes and Fagin)
Ditty,song,3,Children's song
Complete outfit - group of musicians,ensemble,1,Ensemble (referring to the whole group performing)
"Bob -, Blowin' in the Wind singer ",dylan,3,Bob Dylan
Portions of a circle ,arcs,12,Lune (the region between two circular arcs of the same size)
Bar parlour - comfortably placed ,snug,13,Snug pub
