CLUE,ANS,POS
Farthest - to the highest degree,extreme,5
Not sorry,unapologetic,1
Arab leader,sheikh,4
Medical treatment ,therapy,3
Buying goods ,shopping,4
Rage ,fury,2
Theft ,larceny,3
County of southern England ,dorset,5
Supposed loch monster ,nessie,2
Family member by marriage ,brother-in-law,1
Bold and daring ,audacious,4
Walk laboriously ,trudge,5
Group of items of the same kind ,set,13
Andalusian gypsy music ,flamenco,1
Licentious - dissolute ,immoral,4
Masticated ,chewed,1
"Break free, get away ",escape,1
"Attentive, watchful ",alert,4
Not defeated ,unbeaten,15
Something seldom seen ,rarity,1
High-quality tea ,darjeeling,1
Barred enclosure for animals ,cage,4
Least powerful ,weakest,1
"Canted, angled ",tilted,5
Expressive movements ,gestures,1
Civilian soldiery ,militia,4
Great Greek author of the Odyssey ,homer,1
Intoxicating drink ,alcohol,1
Grill for outdoor cooking ,barbecue,1
Large marsupial ,kangaroo,1
Probity ,righteousness,17
Prison accommodation,cell,1
Song from an opera ,aria,1
The Red Planet ,mars,1
