CLUE,ANS,POS
Accomplished ,achieved,3
Canine guard ,watchdog,1
Homerian epic ,odyssey,2
Counterpart of yang ,yin,1
Theft crime ,robbery,2
"Valiant, courageous ",heroic,2
Imperial land measurement ,acre,1
Small sheltered bay ,cove,1
In short supply ,scarce,1
Raised ,hoisted,4
Dreamlike ,surreal,1
Planet ,venus,3
Not closed or secret ,open,2
Many-headed foe of Hercules ,hydra,1
Mishap ,accident,1
Porous substance to soak up ,sponge,1
Joyous ,blissful,6
Purposes or intentions ,aims,2
Hayfield ,meadow,1
Wartime stealer,looter,12
Mental or emotional strain,stress,1
Evening music (played outside woman's house) ,serenade,1
Narrow track or path ,lane,17
Electric safety device ,circuit breaker,1
Cattle ,oxen,2
Artist's workshop ,atelier,2
Helps ,aids,2
Liquid/gas accidentally lost ,leakage,6
State of being boring or not bright ,dullness,1
Banned (German),verboten,1
"Agile, spry ",nimble,1
Sign of the zodiac ,leo,5
Tropical fruit ,guava,4
