CLUE,ANS,POS,FOUND IN
Dull sound of a bell,clang,18,Restrained clanging
Stallion ,steed,10,Stately steed
Sheep meat ,mutton,2,Mutton (if the sheep is older than one year)
Withdraw ,pull out,1,Pull out money (Cashier)
Shore ,coast,2,Coastline
Nudists ,naturists,18,Barefoot movement (may overlap with naturists who prefer being barefoot)
Illuminate ,light,1,Light up
By way of ,via,1,Via route
Upper chamber of Parliament ,house of lords,17,House of Lords (UK specific)
"Benjamin --, composer ",britten,1,Benjamin Britten
Door support ,hinge,6,Hinges (as they provide structural support for the door's movement)
Owing to ,because,1,Because of
Vivid long-tailed bird of the Americas,quetzal,3,"Quetzalcoatlus (extinct, but notable for its large size)"
Two words that can be interchanged ,synonyms,6,"Synonyms, Analogous terms"
