CLUE,ANS,POS
One who believes there is no god,atheist,1
"'Refrain from, stop (6)' ",desist,2
Repugnant,odious,13
Religious official ,cleric,1
"Sea-god, son of Poseidon ",triton,1
Backpacking ,trekking,1
Blunt and candid,plain-spoken,4
Person unknown ,stranger,1
Highly improper ,scandalous,7
Unexpected failure or error ,glitch,1
Electricity point ,socket,2
Dance originating in Cuba ,rumba,2
Togetherness ,unity,3
"Juicy stone-fruit, orange-pink when ripe ",apricot,3
Reinstate ,restore,1
Novice ,tyro,8
Normal ,usual,5
