CLUE,ANS,POS
Let-up ,respite,8
Facts ,data,2
"Going on and on, interminable ",endless,2
Alter ,amend,2
Fasteners with threaded shanks ,screws,3
Applaud ,cheer,2
Two-hump camel ,bactrian,1
Male fertilising organ of flowering plants ,stamen,2
Fasten; level game ,tie,3
Tail vertebrae ,coccyx,2
"Informally, an important person - sounds loud ",big shot,7
Winter sport ,skiing,1
Reception room ,salon,12
Pull hard ,yank,2
Simple arithmetic ,addition,1
Accessible to all ,public,4
It connects points of equal air pressure ,isobar,8
Asian country ,india,2
Edible bulb ,onion,1
Baldness,alopecia,1
Eastern ,oriental,2
"Natural, inborn ",innate,2
Glass or plastic vessel ,bottle,2
God of darkness ,erebus,4
Plant from a corm,crocus,2
NW US state ,montana,4
Taking a picture of ,imaging,2
Small pointed projectile ,dart,2
Broken pieces ,fragments,2
"Unite, merge ",combine,2
Slight advantage,edge,1
Somewhat rough (sea),choppy,5
Respectful and considerate ,polite,2
"Praised, lauded ",extolled,10
