CLUE,ANS,POS,FOUND IN
Hee-hawed ,brayed,19,Brayed with amusement
Go to restaurant ,eat out,11,Eat outdoors (if the restaurant has outdoor seating)
"- Blyton, children's writer ",enid,1,Enid Blyton
Formal set of clothes ,suit,2,Suit and tie
Narrow runner for the snow ,ski,1,Cross-country skier
Bursar ,treasurer,6,University treasurer
Statement of transactions and costs ,account,2,Accounting record
Sermon or example ,lesson,9,Ethical lesson
One who sells betting advice ,tipster,13,Gambling tipster
Person with outstanding intellect ,mastermind,4,Mindful mastermind
Shop ,grocery,20,Grocery store
