CLUE,ANS,POS
Tiered ,layered,3
Ending of film ,denouement,3
Bone in lower leg ,tibia,1
Requiring speedy action,urgent,1
Self-centred ,egocentric,1
Afternoon nap ,siesta,1
Citrus fruit ,lime,3
Fast American dance,jive,12
Group of people behaving like sheep? ,herd,2
Entertaining ,amusing,1
"Notable, full of incidents ",eventful,1
Answer ,response,4
Deed ,act,1
Remember or summon back ,recall,1
Son of a sovereign ,prince,1
Co-operative friend,ally,3
Flat data-storage device ,laserdisc,16
Novice ,neophyte,9
Someone repairs tall church structures,steeplejack,2
Time for finishing ,deadline,1
Scold or chide severely ,berate,10
Large animal ,elephant,1
Yearning for past - homesickness,nostalgia,1
Encoded communication ,signal,7
Celestial body ,planet,1
The study of religion ,theology,1
