CLUE,ANS,POS
Hard Italian cheese,parmesan,1
Divides in two ,halves,4
Band worn around the neck ,choker,5
Tiredness,fatigue,1
Exotic flower ,orchid,1
Yokels ,rustics,5
Hostelry for travellers ,inn,1
Set of clothes or group of people ,outfit,2
Items of cutlery ,spoons,3
Immediately appealing or noticeable,eye-catching,1
It's distilled from molasses ,rum,1
Mid-day ,noon,1
"Quietly, without fuss ",calmly,7
Valid ,sound,1
Lustre ,sheen,1
"Liszt or Ravel, say ",composer,2
About-turn ,reversal,4
Male domestic feline ,tomcat,1
Wine merchant ,vintner,1
