CLUE,ANS,POS,FOUND IN
Second-hand ,used,2,Used item
Royal mansion ,palace,6,Aristocrat's palace
Conduct trade ,transact,7,Financial transaction
Game bird ,grouse,14,"Tetrao tetrix (red grouse or heather grouse, native to the UK and commonly associated with hunting)"
Slanting ,oblique,6,Obliquely oriented
Fibre got from goats ,mohair,5,"Mohair (from Angora goats, specifically derived from their long hair rather than wool or fur)"
It holds a ship in place ,anchor,1,Anchorage
Deep ravines ,gorges,4,Gorges profound
Next to ,alongside,14,Simultaneous (when referring to events or actions taking place alongside each other)
German tank ,panzer,1,Panzerkampfwagen
Interrogate ,question,2,"Question: Seeking knowledge, understanding, or explanation through inquiry."
Kiln for drying hops ,oast,8,Hops roasting pit (for partial drying process)
