CLUE,ANS,POS,FOUND IN
"Experience, perceive ",feel,6,Feeling
Of abode of the blessed dead in Greek mythology ,elysian,7,The Elysian Fields
Crowd ,mass,4,Mass congregation
Parliamentary break ,recess,9,Recess from parliament
Sea inlet ,gulf,6,Gulflet
Inebriated ,drunk,1,Drunkard
Public occasion ,event,6,Social event
Easy gallop ,canter,6,Light canter
"Curious, odd ",peculiar,2,Peculiar behavior
Live,exist,2,Vigorous existence
Noah's vessel ,ark,1,Ark-like structure
It may be grizzly or polar ,bear,4,Bearish nature
Pulverise ,mash,2,Smash forcefully
"Dry, parched ",arid,1,Aridity
Endeavours ,attempts,1,"Attempts: These attempts signify a person's efforts in pursuing their goals, highlighting determination and resilience."
Fault - default ,defect,2,Defective
