CLUE,ANS,POS
Imitate (an appearance or character) ,simulate,18
The Devil ,satan,4
UK capital ,london,1
Day nursery ,creche,1
Heavenly being ,angel,1
Embarrassed ,abashed,1
Landed property ,estate,1
Sofa ,settee,3
Houses of Parliament borough ,westminster,1
Brains -- news ,intelligence,4
Wind-borne toy ,kite,1
Fabric from fine goat's wool ,cashmere,2
Mistake ,error,6
Material of pre-vinyl rpm records,shellac,1
Greek wine ,retsina,2
Not satisfactory,unacceptable,16
Elderly Russian woman ,babushka,1
Funny ,comic,10
City of SE France ,grenoble,14
Person in charge of convent ,abbess,1
One's position or stance ,attitude,1
