CLUE,ANS,POS,FOUND IN
Eructate,burp,2,Burping
Island in Bristol channel ,lundy,4,Lundy Island
Act -- rotate ,turn,2,Turn around
Plummet ,fall,2,Fall precipitously
Common pub name ,rose and crown,8,The Rose and Crown
In a chair ,seated,1,Seated comfortably
Pot for ashes ,urn,5,Cremation urn
Flat and smooth ,even,2,Even plane
Fairly large,ample,15,Fairly ample
Distinctive sign,trademark,9,Trademark (as a form of recognition)
Early bedtime enforced by military ,curfew,3,Curfew imposed for slumber
Hearth goddess; a match ,vesta,1,"Vesta (Roman deity associated with the hearth, home, and family warmth)"
English or Dutch glazed earthenware,delft,1,English Delft
