CLUE,ANS,POS,FOUND IN
Verdure ,greenery,1,Lush greenery
This sauce often goes with fish ,tartar,1,"Tartar Sauce - A creamy, tangy condiment made from mayonnaise, chopped dill pickles, capers and tarragon."
Guardian - - ,angel,11,Guardian angel (a celestial being whose task is to protect and guide a particular person)
Infallible authority ,oracle,3,Oracle - a person regarded as possessed of divine inspiration and able to provide wise counsel
First-footing time ,new year,1,Hogmanay (Scottish New Year's Eve)
Individual Savings Account ,isa,1,ISA (Individual Savings Account)
French river,loire,2,"Loire - The longest river in France, flowing from its source near Monts-de-Marsanne to the Atlantic Ocean via Nantes."
Flyers ,aviators,20,Sky charts (used by aviators as a navigational aid during flights).
"American state, capital Boise ",idaho,1,Idaho - The U.S
Nobleman,baron,2,Baron - An aristocratic title ranking below viscount and above a knight.
Small acting role; item of jewellery ,cameo,9,"Cameo (also refers to a type of carving technique for small pieces of gemstone, often used in jewelry)"
South Indian people or language ,tamil,1,Tamil - an Indo-Aryan language spoken primarily in the southern part of India and by communities around the world.
Senior ,elder,1,Elderly
Formerly capital of Nigeria ,lagos,1,"Lagos - While not the former capital, it is historically significant and currently the largest city in Nigeria."
Serenade,love song,1,"Ballad - A sentimental love song or poem, often sung in a serene manner to complement a romantic gesture like a serenade."
Deliberately avoid ,shun,5,Shunning
Access ,entry,1,Entryway
Being away,absence,19,Unequipped (to cope with absence)
"Complete, absolute ",total,6,Totality
Musical instrument like a small guitar ,mandolin,2,"Mandola - A stringed musical instrument pitched between the mandolin and the tenor banjo, generally in octave pairs."
Emphasis; turn rapidly ,spin,15,"Spin (to turn quickly around an axis, often used in dance/movement contexts)"
Cereal ,maize,5,Corn (Maize)
Rising warm air ,thermal,2,Thermal updrafts
Bird expert ,ornithologist,1,"Ornithologist - A scientist who studies birds, their behavior, and biology."
Scottish residence of the British sovereign,balmoral,3,Balmoral Castle
Loud cry of a bull ,bellow,1,Bellowing
Cured or smoked ham ,gammon,17,Gammon - Refers to a joint of pork leg that's been cured with salt; it can be further processed by drying or smoking depending on regional practices.
