CLUE,ANS,POS,FOUND IN
Violent and needless disturbance ,havoc,9,Unwarranted havoc
Young hens,pullets,1,"Pullets: Female chicks that have not yet begun laying eggs, typically less than a year old."
Clarified butter,ghee,1,"Ghee: A type of clarified butter originating from South Asia, made by simmering unsalted butter, separating the milk solids, and leaving only pure fat."
A really foul smell ,stench,7,Repulsive stench
Cherubic,angelic,1,Angelic-looking
State of equilibrium ,balance,1,Balanced
Horrific experience ,ordeal,3,Terrifying ordeal
Vegetable ,pea,3,"Legumes: bean, pea, lentil"
Feeling of fear - in lower extremities? ,cold feet,5,"Sweaty palms and cold feet (psychogenic sweating): While not directly in the lower extremities, this physical response can accompany fear and manifests when individuals feel anxious or frightened, leading to increased perspiration on their hands while experiencing a contrasting sensation of coolness in the legs."
Instructions for cooking ,recipe,2,Gather all necessary ingredients and utensils before beginning the recipe.
One more time ,again,1,Repeat again
Leave out ,omit,8,"Omit (verb, to leave something out)"
Porous lava ,pumice,10,Pumiceous lava flow
Person of great strength -- moon of Saturn ,titan,5,"Titan (Saturn's largest moon): Although more noted for its thick atmosphere and surface lakes than physical strength, in an abstract sense, Titan could symbolize a colossal entity within the Saturnian system, representing something immense or powerful by virtue of its size."
