CLUE,ANS,POS,FOUND IN
Internal framework ,skeleton,3,Essential skeleton
Manipulate; manage ,handle,5,Handled
Descend vertical slope using rope ,abseil,12,Hillside abseiling
The smaller of two ,lesser,5,Lesser share
Organisation's influence in the community ,outreach,14,Altruistic outreach
Pulled along roughly ,dragged,2,Dragged carelessly
In reserve; remark ,aside,2,Set aside
Shore ,coast,1,Coastline
Cavalry sword ,sabre,16,Reiters' sabre (referring to a type of cavalry soldier in Germany who carried a particular style of saber)
Official ban on trade ,embargo,20,Trade embargo
Cry like a wolf,howl,8,Howling in need
Wide area ,expanse,2,Vast expanse
Port city of Poland ,gdansk,11,Gdynia-Gdansk (two major port cities in Poland)
Alcoholic drink without a mixer,neat,2,Whiskey neat
Doctor Who's machine ,tardis,1,TARDIS interior
Buyers' line,queue,1,Queueing customers
