CLUE,ANS,POS
"Draw out, evoke",elicit,7
Unit of electrical energy ,kilowatt-hour,3
Russian dictator ,stalin,2
"Apply, employ ",use,2
Let-up ,respite,4
Flabbergast ,astound,1
Lie on surface of water,float,2
"Going on and on, interminable ",endless,1
Fasteners with threaded shanks ,screws,2
Latin poet ,virgil,2
Two-hump camel ,bactrian,1
Tail vertebrae ,coccyx,1
Firmly fixed or free from uncertainty ,secure,7
Offend(ed),hurt,10
Winter sport ,skiing,1
Simple arithmetic ,addition,3
It connects points of equal air pressure ,isobar,1
Fungus used in baking ,yeast,1
Asian country ,india,3
