CLUE,ANS,POS
Spanish friend ,amigo,1
Mechanical device preventing a wheel slipping backwards,ratchet,1
Cream cake ,gateau,18
Follower of religion founded by Joseph Smith Jr. ,mormon,1
"Curiously, Dan and Eva are in the US ",nevada,20
Hebridean island ,barra,6
State-of-the-art ,cutting-edge,3
Attack by planes,air raid,1
Wardrobe ,closet,1
The kneecap ,patella,1
Right or means of entry ,access,1
Field of grass ,meadow,1
Handle something awkwardly ,fumble,1
Offer of marriage ,proposal,1
Unit of current ,ampere,1
