CLUE,ANS,POS
Grossly overweight ,obese,1
"In music, below the correct pitch ",flat,1
Thick black product of the distillation of solid fuel ,coal tar,1
Ancient vehicle ,chariot,1
Comic sketch ,skit,18
Pack away ,stow,1
Avoiding the company of others,antisocial,5
Golf ball support,tee,1
"Austere, serious ",severe,19
Journey by water or through space ,voyage,1
"Burning, corrosive ",caustic,3
Very hot and dry ,torrid,4
Ballroom dance,waltz,1
Cul-de-sac,dead end,1
Departed ,gone,4
TV,telly,2
Apparatus for heating,radiator,6
"The ""single currency""",euro,1
Thieving intruder ,burglar,1
"Prediction, of weather perhaps ",forecast,1
At less than normal speed ,slowly,2
Public speaker ,orator,1
