CLUE,ANS,POS
Eructate,burp,2
A calling as to priesthood ,vocation,5
Great happiness and exhilaration ,euphoria,4
Maritime ,nautical,2
Younger or lower in rank ,junior,2
Edible entrails,offal,6
Flat and smooth ,even,3
Bring in to the country ,import,1
Under way,in the pipeline,5
Delilah's strong man ,samson,2
Early bedtime enforced by military ,curfew,1
Extreme deviation from the mean -- our tile (anag) ,outlier,3
Cut; bargain ,snip,7
Part of the digestive system ,gut,14
Gulf state ,qatar,1
Irritate ,annoy,6
Throw (dice) ,roll,2
Illness ,malady,8
