CLUE,ANS,POS,FOUND IN
Exclamation of making a blunder ,oops,1,Oops!
Border,boundary,12,Boundary line
Sudden sharp feeling ,twinge,8,Sharp twinge
By a very small margin ,barely,9,Tight race (just barely)
Flag bearing a device ,banner,13,Banner display stand
Annual starting point ,new year,3,New Year's Day
Guest ,invitee,19,Party invitee
Put in proper order ,arranged,3,"List of words related to the given clue, arranged for logical sequencing or relevance (where applicable):"
Natural surroundings ,habitat,16,Natural habitat
Squeeze into less space ,compress,20,Compressed dimensions
Director of publication ,editor,1,Editor-in-chief
Such as well might happen ,likely,1,Likely occurrence
