CLUE,ANS,POS
Porch along the outside of a building ,veranda,3
Human whose body has been taken over by machines ,cyborg,1
Legal proceeding brought by one party against another,action,4
Discharge,outflow,10
Citrus fruit ,lemon,2
"Place where ancient Greeks consulted gods, as at Delphi ",oracle,1
Vision ,eyesight,3
Texas mission besieged and captured by Mexican forces in 1836 ,alamo,2
Highest point (of orbit) ,apogee,1
Green citrus fruit ,lime,2
Amaze ,astound,2
Half-melted snow ,slush,1
