CLUE,ANS,POS,FOUND IN
Chance event ,accident,10,Happy accident
Admonish ,warn,7,Warn firmly
Informer ,rat,14,"Conspirator (if involved in wrongdoing, but as an informer it's context-dependent)"
Violent storm ,tempest,1,Tempestuous
State firmly ,aver,5,Unwavering
Hoofed animal ,deer,11,Deer (generally referring to members of the family Cervidae with hooved feet)
Cask stopper ,bung,16,Bung plug
Long periods of time - noes have it ,eons,20,Eons-long history
Flashlight ,torch,6,Torchlit
Feel sorry for ,pity,4,Moved by pity
Container for serving food,dish,4,Dishware
