CLUE,ANS,POS
Impart confidence ,assure,3
Backache ,lumbago,2
"Stir, excite ",agitate,1
"Prescribed course of diet, exercise, etc ",regimen,1
Providing (a baby) with milk ,breastfeeding,5
(Sweet) older lover? ,sugar daddy,1
Remove by force ,extract,4
Japanese raw fish dish ,sashimi,1
Adoration ,worship,4
Military trainees ,cadets,1
Shady shelter ,bower,6
On which water freezes at 32 deg. ,fahrenheit,1
To correct ,amend,1
Denver's state ,colorado,1
Travel document ,passport,1
Position or posture ,stance,1
Cylinder,tube,3
Painful muscle contraction ,spasm,2
Falsely sentimental ,mawkish,9
New England state ,maine,1
Small stem ,sprig,3
Disentangle ,unravel,1
Not fortunate ,unlucky,1
