CLUE,ANS,POS,FOUND IN
Middle Eastern dessert ,baklava,1,"Baklava - A sweet pastry made of layers of filo filled with chopped nuts, sweetened and held together with syrup or honey."
Inhabit ,occupy,1,Reside - To live in or occupy a particular place.
Competing in a contest of speed ,racing,10,Racing Enthusiast
Blunder ,err,4,Error
Decorative clasp ,brooch,1,"Brooch - A decorative pin or fastening, often worn on clothing."
Dickens novel,hard times,7,Hard Times (Charles Dickens)
Penetrate ,pierce,2,Pierce - to make an opening by driving something sharp through something else
Keep in a certain state ,maintain,1,Preserve - To maintain something in its original or existing condition.
"Gyrate, reel ",spin,2,Spinning
Walked (on) ,trod,20,"Trodden - To walk heavily over, as if making an impression on the ground; often used in reference to paths or footprints left behind while walking."
Flower container,vase,1,Vase - A hollow ornamental container for holding cut flowers.
Blame for a crime ,accuse,1,Accused
A horse's feet ,hooves,16,"Saphenous vein (a vein that runs along the leg which could be near where a horse's hooves are located, but not directly related to feet)"
Raucous - austere - bitter,harsh,3,Harsh (related to both austere and bitter)
Short time - magical incantation ,spell,5,Spellbinding
