CLUE,ANS,POS
High-pitched and sharp ,shrill,1
Save from danger ,rescue,1
Sweetener ,sugar,1
Feed ,nourish,1
Perimeter ,circumference,3
Relevance ,pertinence,3
Residue of a fire ,ash,1
Group formed to limit competition ,cartel,1
Inequality ,disparity,1
Intrepid ,fearless,4
The largest flatfish ,halibut,1
Ships travelling together ,convoy,2
Deport ,exile,4
1966 Michael Caine film,alfie,3
Happy-go-lucky ,carefree,1
"Gives, apportions ",allots,17
Move unsteadily (like a jelly?),wobble,8
Lock openers ,keys,2
Small particular part,detail,3
Long-winded ,prolix,1
The art of growing ornamental dwarfed plants ,bonsai,7
Level a charge against ,accuse,1
Installer of mains-powered equipment ,electrician,1
"Concepts, notions ",ideas,1
Sea between Italy and former Yugoslavia ,adriatic,1
MC in full ,master of ceremonies,8
Joint of the body ,shoulder,3
Acclaim ,praise,1
Of little importance ,trivial,1
Diplomatic messenger ,envoy,1
Fossilised resin ,amber,1
Graduates of a college ,alumni,1
