CLUE,ANS,POS,FOUND IN
Sprightly ,nimble,1,Agile - Having or showing quick and nimble movements or actions
"Large, mainly Mongolian, desert",gobi,1,Gobi - A vast desert region in northern China and southern Mongolia.
Banish(ment),exile,1,"Exile - The act of forcing someone to leave their country or home, often as a punishment."
Play music in the street ,busk,1,Busker
Overnight do for young girls ,slumber party,1,"Slumber Party Essentials (Though not directly referring to overnight activities, it includes items used in such settings)"
Make stronger and hardier ,toughen,4,"Toughen - Become tougher or more robust, either physically or emotionally."
Separated ,apart,10,"Dismantled - taken apart, disassembled into component parts."
Oliver Goldsmith wrote 'The . . . . . of Wakefield' ,vicar,16,"Actor (as he was also an actor, though not the author of 'The Vicar of Wakefield')"
Blank areas ,spaces,1,White spaces - blank areas on a page or screen with no text or graphics
"Fidel . . . . . ., Cuban chief ",castro,2,Fidel Castro: The most prominent Cuban revolutionary and communist politician who served as the President of Cuba from 1976 to 2008.
