CLUE,ANS,POS
Angle between leaf and stem ,axil,13
"Listening device, insect or electronic fault ",bug,1
Firm ,solid,4
"Keepsake, souvenir ",memento,1
Many-coloured gem ,opal,1
Power to withstand hardship ,endurance,4
Arm joint,elbow,1
Naked ,nude,2
Highway ,road,1
Thick liquid for skin ,lotion,3
Regard ,esteem,6
Grind (teeth),gnash,1
Stand firm against ,resist,1
Shielded ,sheltered,14
Hole (for shoelace) ,eyelet,3
Ladies' hosiery,tights,3
Mucus - stolidity ,phlegm,2
Fight ,battle,1
Made ready (to fire) ,primed,2
Strain ,tension,1
Not sacred ,secular,1
Laughable ,risible,17
