CLUE,ANS,POS
Branch of technology including aviation ,aerospace,3
Root vegetable ,carrot,1
"Adieu, so long ",farewell,1
Church robe ,vestment,9
Assisted ,helped,2
Skin complaint ,eczema,2
Long-necked bird ,emu,7
"Of a period of government, such as in Britain 1811-1820",regency,1
Immense ,vast,6
Place of religious retreat for Hindus ,ashram,1
Former students,alumni,1
Perilous ,risky,3
Earth science ,geology,5
"Kind of nut, makes nice icing on cake ",almond,2
German motorway ,autobahn,1
