CLUE,ANS,POS,FOUND IN
Type of nut ,cashew,6,Cashews
Performed - with a high degree of skill ,accomplished,4,Skillfully accomplished
European capital ,oslo,16,"Oslo, Norway"
Pluck strings ,strum,17,"Kithara (an ancient stringed instrument, played with a plectrum)"
Three-wheeler ,tricycle,3,Tricycle taxi
Osteopath's technique ,manipulation,9,Visceral manipulation
Winter weather ,snow,4,Snowy
Hidden microphone ,bug,5,Bugged room
Pharmacist ,dispenser,1,Dispenser of medications
Primitive aquatic plant,alga,2,Algae
Cuban leader ,castro,1,Fidel Castro
Famous battle in Texas launched by the Mexican army ,alamo,1,Battle of the Alamo
Evergreen tree for Gaelic men ,fir,6,"Sléibh (Irish word for ""fir"")"
Ballroom dance ,two-step,14,Nightclub two-step
