CLUE,ANS,POS,FOUND IN
Lever moving boat's rudder,tiller,3,Tiller mechanism
Hayfield ,meadow,2,Meadow with haystacks
Evening music (played outside woman's house) ,serenade,1,Outdoor serenade
German Miss ,fr,3,Gästefreundlichkeit (Hospitality)
Narrow track or path ,lane,1,Narrow lane
Smooth ; metal ,iron,3,Cast iron
Decorates with hanging ornaments ,festoons,25,Festoons (decorative arrangement)
"Ogden --, US humorous poet ",nash,1,Ogden Nash
Spanish wine shop ,bodega,1,Bodega de vino
Brother (Italian) ,fra,1,Fratello
Liquid/gas accidentally lost ,leakage,16,Leakage event (in the context of gas)
Debate ,argument,6,Persuasive argument
Curling columns of smoke ,plumes,1,Smokestack plumes
It turns litmus red ,acid,1,Acidic
Learned ,scholarly,16,Scholarly understanding
