CLUE,ANS,POS
Top US horse race ,kentucky derby,1
Any procedure regularly followed ,routine,1
Accustomed to home life ,domesticated,6
Large tall chimneys ,stacks,2
An undertaking with little chance of success ,long shot,4
City at the confluence of the Blue and White Nile ,khartoum,1
Planet ,mars,2
Southeast Asian country ,thailand,3
Roman silver coin -- is unread (anag),denarius,1
Greek god of love ,eros,1
Northern Ireland city ,omagh,7
Toy bear ,teddy,1
Largest Canary island ,tenerife,1
Satan ,lucifer,5
