CLUE,ANS,POS
Middle Eastern dessert ,baklava,1
Worthy or praise ,laudable,4
Oriental ,eastern,1
Animal ,creature,1
Inhabit ,occupy,2
Not at home ,away,3
Dickens novel,hard times,15
Keep in a certain state ,maintain,2
Blessing or good wishes to traveller ,godspeed,8
Inveterate ,habitual,1
Oil platform ,drilling rig,1
Liable to break easily ,fragile,1
(Of music) not in a key ,atonal,2
A horse's feet ,hooves,1
"Inhabit, take up space ",occupy,3
The breastbone ,sternum,1
Raucous - austere - bitter,harsh,1
