CLUE,ANS,POS,FOUND IN
"Reassurance, cheer ",encouragement,10,Kind encouragement
"Thyme, for example",herb,1,"Herbaceous plant: A botanical term referring to plants with soft stems rather than woody ones, like thyme."
"Cunning, deceit ",guile,2,Guilelessness inverted
Occurring after an armed conflict ,post-war,1,Post-war era
Family,kin,1,"Kinship group: A family, or a specific type like nuclear family (parents and children), extended family (in-laws and relatives beyond the immediate household), etc."
Place of worship ,chapel,15,Chapel (smaller religious building)
Principal actor in a film ,star,2,Hollywood starlet
Tedious task ,chore,5,Onerous chore
Melancholy ,blue,3,Blue-hearted
Cultivated grass,lawn,1,Lawn-grown vegetation
"Daniel, writer, d. 1731",defoe,5,Narrative architect (Daniel Defoe)
Peak,apex,1,"Apex or summit: Refers to the highest point or top position, often used metaphorically for reaching a peak in terms of performance or achievement."
Manner of walking ,gait,4,"Loping: Characterized by an irregular or uneven gait, like that of certain animals."
"Of soldier, illegally absent - initially ",awol,6,Insubordinate troops: Soldiers who refuse to obey directives and are consequently absent without leave (AWOL).
Littoral region ,coast,2,Shoreline or coastal zone
Specifications by which something may be assessed ,standards,2,"Criteria - Generally refers to standards or principles that can be applied to judge, evaluate, or make decisions about something"
Rod used for punishment ,cane,12,Cane (used metaphorically or historically as a disciplinary tool)
Small whirlpools ,eddies,2,Minuscule eddies
Comfort ,ease,8,At-ease
Arrive at ,reach,5,Swiftly reach the destination
