CLUE,ANS,POS
(Of show) performed by a single person ,one-man,3
Impelled ,driven,1
Hand tool for plasterers or gardeners ,trowel,1
"'-' Marciano, US boxer ",rocky,1
Promise or pawn ,pledge,3
Adhesive ,glue,1
Orderly ,methodical,4
Loathes and detests ,abhors,1
CS Lewis' fictional realm,narnia,1
Long-faced ,glum,11
Always winning,unbeaten,4
Exhausted,tired,2
Herb ,thyme,3
Period learning a trade ,apprenticeship,1
Furrow ,groove,2
a tasty sweet - in France ,bonbon,1
Regular traveller to work ,commuter,1
"-- Radcliffe, English long-distance runner ",paula,1
