CLUE,ANS,POS,FOUND IN
Pupil in a higher form ,senior,2,High school senior
Boggy land ,swamp,4,Swamplands
Unmarried state entered in to by some clergy ,celibacy,1,Celibacy vow
Fortune-teller,palmist,14,Palmist (one who reads palms for signs of the future)
Attractively old-fashioned ,quaint,3,Quaintly antiquated (charmingly from the past)
The United States ,america,2,Americas
Over the .... - past life's prime ,hill,17,Over-the-hill
Spoke violently ,spat,4,Spat words angrily
Recede ,ebb,3,Ebbing - often used to describe tides going out but can apply generally to anything diminishing in size or intensity.
Large livestock farm ,ranch,1,Cattle ranch
Tongue ,language,10,Language marker
Part of the New Testament ,gospels,2,Matthew (one of the four Gospels)
Mary Shelley's monster ,frankenstein,1,Creature (short for Frankenstein)
