CLUE,ANS,POS
Pleasantly pungent ,piquant,12
Accomplished ,achieved,4
Canine guard ,watchdog,1
Homerian epic ,odyssey,1
Theft crime ,robbery,2
"Valiant, courageous ",heroic,3
Small sheltered bay ,cove,1
In short supply ,scarce,1
Raised ,hoisted,2
Dreamlike ,surreal,1
Planet ,venus,3
Not closed or secret ,open,1
Many-headed foe of Hercules ,hydra,1
Mishap ,accident,1
Porous substance to soak up ,sponge,1
Of spring ,vernal,1
Joyous ,blissful,5
Suddenly ,all at once,11
Purposes or intentions ,aims,4
Hayfield ,meadow,2
The science of flying aircraft ,aviation,5
Mental or emotional strain,stress,1
Episode ,chapter,3
Electric safety device ,circuit breaker,1
Artist's workshop ,atelier,3
Helps ,aids,2
Spanish wine shop ,bodega,1
Arab state ,bahrain,8
Banned (German),verboten,1
First letter of the Hebrew alphabet,aleph,1
Sign of the zodiac ,leo,5
Tropical fruit ,guava,5
