CLUE,ANS,POS,FOUND IN
Norwegian city ,oslo,1,"Oslo - Capital and largest city in Norway, often referred to as ""The City of Royal Palace."""
"Not liable to, perhaps disease ",immune,1,Immune - not susceptible to infection or diseases due to natural resistance.
United States ,america,14,Baseball (America's pastime)
Swarm of insects ,plague,15,Plague (as in swarms of locusts)
"Annelid worm, used in medicine of old",leech,1,Leech - A type of segmented annelid worm commonly used for bloodletting and medical therapy since ancient times.
Birthplace of Jesus,bethlehem,1,"Bethlehem - A city in present-day Palestine, widely regarded as the birthplace of Jesus Christ according to Christian tradition."
Turkish dynasty or long cushioned seat ,ottoman,1,Ottoman (Turkish dynasty)
Plant seeds ,sow,2,Sowing
Measuring stick ,ruler,1,"Ruler - A flat, straight tool used to measure length or distance."
First tsar of Russia,ivan,11,Ivan III
Abnormal body sac containing fluid ,cyst,1,"Cyst - A closed capsule or sac-like structure, typically filled with liquid or semi-solid material."
Extremist ,ultra,5,Ultra-nationalist
Fragrant flower ,lily,7,"Lily - Various species of lilies come in fragrant varieties, such as the Oriental and Asiatic lilies."
Watch - intellect ,mind,5,Sharp-minded
"Orson, film director ",welles,1,Orson Welles
Scale for shoe fasteners ,laces,17,Bail loop (a small loop on the back part of a shoe for laces)
Prevaricate; booth ,stall,2,"Cobbler's Booth - a small stall where shoemakers sell and repair footwear, which can also mean an isolated place for deceitful acts due to its secluded nature."
Immature form of insect ,larva,1,"Larva - The immature, wingless, and often legless form of an insect during its early stages of development."
Nightclothes,pyjamas,3,Pyjamas (British spelling)
Police weapon ,taser,2,Taser - An electroshock weapon used to temporarily incapacitate an individual without causing permanent harm.
Long seat with back and arms ,settee,6,Settee (or cushioned bench)
Walk as if about to fall,stagger,3,Staggering
Baby swan ,cygnet,10,"Cygnets - The plural form of cygnus, used specifically for young swans."
Surprise greatly or daze ,stun,11,Stunned
Seraph ,angel,1,"Angelic - referring to something divine or heavenly, often associated with angels like Seraphs."
'. . . . . . speaks louder then words' ,action,15,Emblematic Actions
Culinary herb ,coriander,11,Cilantro (also known as coriander)
