CLUE,ANS,POS,FOUND IN
"Like oxygen, neon, etc ",gaseous,9,"Gaseous at room temperature, similar to helium or argon"
Booking (in restaurant) ,reservation,1,Reservation made
Swindle ,hustle,12,Hustler (if it involves deceptive practices for money)
Period (of enchantment?),spell,14,Spellbound era
Banknote; beak ,bill,1,"Currency bill (implying money, which can come in the form of banknotes)"
Ball game ,hockey,20,Field hockey puck (related to the use of a ball in field games)
Swimming stroke ,crawl,6,Crawl (another term for freestyle)
Small narrow river ,stream,1,Streamlet
Sacred beetle ,scarab,1,Spiritual scarab
In favour of ,pro,1,Pro-choice
Push lips out as sign of annoyance ,pout,1,Pouting
Small mark ,dot,13,Marker's dot
