CLUE,ANS,POS
Russian revolutionary ,trotsky,3
Baldness ,alopecia,1
Shorebird found on sniper pad ,sandpiper,3
Typical example or pattern ,paradigm,2
Dark brown fur,sable,3
Chocolate substitute ,carob,1
Demolished ,razed,1
Explanatory drawings ,diagrams,1
Domestic bird shelter ,dovecote,3
Show to be false ,debunk,2
Small tower above a building ,turret,6
Bavarian town known for its passion play ,oberammergau,1
Jason's sorceress ,medea,1
Change direction ,turn,1
They keep watch ,guards,1
Noted Norwegian playwright ,ibsen,1
Disgusting,repulsive,1
"Mock, sneer at ",deride,18
Check on - large lizard,monitor,20
Courageous woman ,heroine,1
Deadlock ,impasse,1
Fail to honour an obligation,renege,3
In the near future ,tomorrow,3
"Dry, parched ",arid,1
Deduce ,infer,1
"Green, inexperienced ",naive,6
Boots and shoes ,footwear,1
Brought up ,raised,1
Judgment,verdict,1
Absolves,exonerates,17
SI unit of electromotive force,volt,1
Passed on,relayed,11
