CLUE,ANS,POS
Intoxicating drink ,alcohol,1
Temporary discharges of workers ,layoffs,1
Artist's black material ,charcoal,1
Main constituent of the air ,nitrogen,2
Pat on the back,kudos,15
Scandinavian country ,norway,2
Fermented feeding stuff for cattle ,silage,1
Intimidating behaviour ,harassment,7
Absolutely horizontal ,level,2
Despite the fact that ,although,6
Allotted portion ,share,5
Food intake regime ,diet,1
Lack of rainfall,drought,1
Adherent of Indian religion ,hindu,1
Fight between rival gangs of adolescents,rumble,4
Martial art ,karate,1
Make a hole in ,pierce,5
