CLUE,ANS,OUTPUT
Trick ,hoax,"['Misleading', 'Deceptive', 'Cunning', 'Sly', 'Shrewd', 'Clever', 'Wily', 'Artful', 'Ingenious', 'Guileful', 'Mischievous', 'Tricky brain teaser', 'Riddles (can be tricky to solve)', 'Enigmas', 'Puzzles (can be challenging and tricky to figure out)', 'Brain twisters', 'Conundrums', 'Brainteasers', 'Riddling words', 'Wordplay (can be tricky to decipher)']"
Empower ,entitle,"['Strengthened', 'Boosted', 'Amplified', 'Enhanced', 'Fortified', 'Invigorated', 'Energized', 'Radiant', 'Confident', 'Self-assured', 'Authoritative', 'Influential', 'Inspiring', 'Uplifting', 'Prideful', 'Confidential', 'Dominant', 'Powerful', 'Resilient', 'Unyielding']"
Slab of clay ,tile,"['Lump', 'Mass', 'Clay brick', 'Ceramic piece', 'Artistic medium', 'Shapeless block', 'Clay sculpture', 'Pottery wheel (can be used to create a slab of clay)', 'Clay modeling tool', ""Sculptor's material"", 'Unworked clay', 'Raw earthy substance', 'Muddy mass', 'Plasticine-like substance (can be molded like slab of clay)', 'Clay tablet (historical reference)']"
Boundary trench ,ditch,"['Frontier', 'Edge', 'Border', 'Limit', 'Line', 'Divide', 'Barrier', 'Wall', 'Fence', 'Boundary marker', 'Borderline', 'Threshold', 'Cusp', 'Verge', 'Edge of town', 'Outskirts', 'Perimeter', 'Territory line', 'Domain boundary', 'Boundary creek']"
Watery milk ,whey,"['Lactose', 'Diluted', 'Skim', 'Low-fat', 'Non-dairy (such as almond or soy milk)', 'Thin', 'Watered-down', 'Weak', 'Flavored water (such as fruit-infused water)', 'Slimy', 'Runny', 'Soggy', 'Wet', 'Fluid', 'Liquid', 'Hydrating', 'Refreshing', 'Creamy (in a non-dairy milk sense)', 'Silky', 'Smooth']"
Sleeveless apron-like dress,pinafore,"['Sundress', 'Tank top', 'Apron dress', 'Slip dress', 'Off-the-shoulder dress', 'Cap-sleeve dress', 'Strapless dress', 'Backless dress', 'Halter dress', 'Bodycon dress', 'Midi dress', 'Maxi dress', 'Tea length dress', 'Longline dress', 'Shift dress', 'Tunics', 'Peplum top', 'Kaftan', 'Kimono', 'Wrap dress']"
Miscellaneous collection,joblot,"['Assortment', 'Mix', 'Medley', 'Menagerie', 'Hodgepodge', 'Jumble', 'Miscellany', 'Sampling', 'Selection', 'Variety', 'Mishmash', 'Melting pot (of cultures)', 'Bazaar (of goods or ideas)', 'Smorgasbord (of foods)', 'Cornucopia (of fruits and vegetables)', 'Miscellaneous array (of items)', 'Mishapen collection (of objects)', 'Unusual mix (of people or things)', 'Diverse group (of individuals)', 'Disparate collection (of objects or ideas)']"
Yellow-brown pigment ,sienna,[]
Own battleground,home front,"['Homefront', 'Turf', 'Domain', 'Territory', 'Battlefield (literal)', 'Personal space', 'Core area', 'Heartland', 'Internal struggle', 'Psychological warfare', 'Mental battleground', 'Emotional turf', 'Intimate landscape', 'Inner sanctum', 'Spiritual realm', 'Personal frontier', ""Heart's domain"", ""Soul's territory"", 'Psychological battlefield', ""Mind's own battleground""]"
Sweet green or white liqueur,creme de menthe,"['Absinthe', 'Chartreuse', 'Green fairy (a nickname for absinthe)', 'Sweet vermouth', 'Baileys Irish Cream']"
Violent winds and rain ,storms,"['Gusty', 'Blustery', 'Stormy', 'Raging', 'Turbulent', 'Boisterous', 'Howling', 'Thunderous', 'Downpour', 'Deluge', 'Tempest', 'Hurricane-force (wind speed)', 'Tornadic (rain and wind, as in a tornado)', 'Cyclonic (as in a cyclone or hurricane)', 'Gale-force', 'Squall', 'Gusty weather', 'Windstorm', 'Weather event', 'Inclement weather']"
Cattle - guide ,steer,"['Ranch', 'Herd', 'Flock', 'Herdsman', 'Stock']"
Test of knowledge,quiz,"['What is the capital city of France?', 'Which planet in our solar system is known as the ""Red Planet""?', 'Who was the main character in the classic novel ""To Kill a Mockingbird""?', 'What is the highest mountain peak in the contiguous United States?', 'Which element is the lightest in weight on the periodic table?', 'Who was the leader of the Soviet Union during World War II?', 'What is the largest planet in our solar system?', 'In what year did the first manned moon landing occur?', 'What is the chemical symbol for oxygen?', 'Which famous scientist is credited with discovering the laws of gravity?']"
Demonstrate ,show,"['Unfed', 'Undernourished', 'Malnourished', 'Starving', 'Famished', 'Hungry stomach', 'Inadequately fed', 'Underfed', 'Deprived of food', 'Nutrient-deficient', 'Fasting (when unintended)', 'Empty belly', 'Goiter (indirectly related to left hungry)', 'Vitamin deficiency', 'Picky eater (can lead to hunger if not addressed)', 'Food insecurity', 'Underfed child', 'Unfulfilled appetite', 'Empty pantry', 'Lean and gaunt (due to lack of food)']"
Death notices (abbr),obits,[]
Essential part of accusation about grave man ,gravamen,"['Allegation', 'Charge', 'Accusation', 'Indictment', 'Impugning statement', 'Impeachment', 'Assault on character', 'Slanderous claim', 'Insult to reputation', 'Detrimental remark', 'Injurious accusation', 'Defamatory statement', 'Disparaging comment', 'Unfavorable allegation', 'Derogatory charge', 'Malicious claim', 'Slanderous insinuation', 'False imputation', 'Misleading accusation', 'Grievous charge (in reference to a grave man)']"
Clear savoury jelly ,aspic,"['Jellyfish', 'Marmalade', 'Jam', 'Gravy', 'Broth', 'Consommé', 'Clear soup', 'Bouillon', 'Chowder', 'Stew', 'Salsa', 'Relish', 'Sauce', 'Gravy (savory)', 'Paste', 'Dip', 'Glaze', 'Glacier (unrelated to food)', 'Gelatinous', 'Clear as jelly (idiom)']"
High-ranking RC priest ,monsignor,"['Patel has extensive knowledge in the following areas:', 'Theology: Dr', 'Canon Law: As a priest, Dr', 'Liturgy: Dr', 'Scripture: Dr', 'Church History: Dr', 'Morality: As a priest, Dr', 'Pastoral Care: Dr', 'Interfaith Dialogue: As a representative of the RC Church, Dr', 'Homilies: Dr', 'Administering Sacraments: As a priest, Dr']"
Unpunctuality ,tardiness,"['Late', 'Unreliable', 'Behind schedule', 'Sleepy', 'Sluggish', 'Indolent', 'Idle', 'Procrastinatory', 'Delayed', 'Laggardly', 'Off-kilter', 'Askew', 'Disorganized', 'Unpunctual', 'tardy (a more casual term for unpunctuality)', 'Slow to act or arrive', 'Retarded (a less common but related term, with a different connotation)', 'Behind the times', 'Out of sync', 'Off-schedule']"
