CLUE,ANS,POS,FOUND IN
Cowboy film ,western,1,Western genre
Giver ,donor,8,Benevolent donor
Male bird ,cock,3,Dapper peacock
Became motionless ,froze,5,Frozen in place
Largest city in Nebraska ,omaha,2,"Omaha: Although it is slightly smaller than Lincoln's population, at approximately 463,00munites, Omaha remains the state's second-largest city"
Fermented honey drink ,mead,1,"Mead (from Medieval Latin ""med,"" meaning mead-house, related to the Old English word ""meodu"")"
The present time ,today,13,The days of today
Type of window in roof,dormer,2,Dormer window
Special right ,privilege,2,Privileged entrance
Route ,road,11,Traffic-congested road
Two squared ,four,6,"Area enclosed by four equal-length lines (e.g., squares on chessboard)"
"Ghostliness, scariness ",eeriness,11,Creepy eeriness
"Concurred, assented ",agreed,10,"Accordance (adherence or conformity to an agreed-upited idea, rule, etc.)"
Large boiling pot,cauldron,1,Bubbling cauldron
Margin,edge,10,Edge (as in margin of paper or space)
Heraldic beast ,unicorn,4,"Unicorn: A mythical horse-like beast with a single large, pointed, spiraling horn on its forehead; symbolizes purity, innocence, and grace."
Aqualung ,scuba,3,Scuba gear component
