CLUE,ANS,POS,FOUND IN
Choke ,throttle,7,Throttle (verb form of choke)
Defeat by superior ingenuity ,outwit,2,Outwitted
Reverie ,dream,1,Dreaming
Sway on the brink,teeter,3,Teetering (literal sense)
Salad plant,cress,12,Watercress
Wooden hammer ,mallet,2,Mallet (a type of hammer often made from wood)
"Plant, avens ",geum,1,Geum urbanum – Wood Avens or Herb Bennet
Seed-bearing spike ,ear,10,Nut-bearing spike
Old ,ancient,12,Ancient (can be used metaphorically for very old items or practices)
Appetizers in an Italian meal ,antipasto,1,The word itself is plural for antipasto which translates to 'before the meal'
