CLUE,ANS,POS,FOUND IN
Angle between leaf and stem ,axil,15,Leaf axil (the angle at which a leaf emerges from the stem)
"Listening device, insect or electronic fault ",bug,1,Bug-in
Trendy body joint? ,hip,5,Hip-h mantra
Make better ,improve,1,Improved version
Naked ,nude,9,Nude swimming area
Highway ,road,5,Traffic-heavy road
Child's toy on a string ,yo-yo,10,String-bound yo-yo
Ladies' hosiery,tights,7,Tights (for warmth)
Mucus - stolidity ,phlegm,3,"Rigid, unyielding phlegm"
Fight ,battle,1,Battle-ready
Broad ,wide,1,Wide-ranging
Strain ,tension,17,Tension headache (related symptom of physical or emotional strain)
Coral island ,atoll,20,Hidden atoll
