CLUE,ANS,POS
A vast age ,aeon,2
Fee paid to secure services ,retainer,11
Ravine ,gorge,1
"Apprise, notify ",inform,1
Without fixed limits or restrictions,open-ended,3
Rough calculation ,estimate,1
"Drink, maybe philtre ",potion,8
Star sign ,virgo,6
"Horrified, shocked ",aghast,13
Take a stand against ,oppose,2
Damage ,harm,7
Egyptian goddess ,isis,1
"Work, run ",operate,2
"Hurry, haste ",rush,1
"Atrocious, awful ",dreadful,3
"London area, centre of the UK diamond trade",hatton garden,8
Bed of sedimentary rock,stratum,1
Revenge ,reprisal,5
Easy - without suffering ,painless,18
