CLUE,ANS,POS,FOUND IN
Showed amusement ,laughed,3,Laughed heartily
Plan of campaign ,strategy,12,Media mix strategy
Monumental (task) ,herculean,3,Herculean task
Frighten ,scare,17,Haunted (in a metaphorical sense of being scared)
Rarely,seldom,4,Seldom seen
"Pest, pain in the neck ",nuisance,7,Painful nuisance
Straight ,direct,1,Directly
Priest of the ancient Jewish Church ,levi,11,Levites (members of a tribe with religious duties but distinct from high-ranking priests)
A therapeutic hot spring ,spa,10,Spa resort feature
(Child's) rabbit ,bunny,1,Young bunny
The entomologist studies this ,insect,1,Insects
