CLUE,ANS,POS
Therefore ,hence,2
Painter and wallpaperer ,decorator,3
Person who watches others in secret ,voyeur,5
Small mouthful of food ,morsel,2
Shelter on sports ground ,dugout,1
"American state, capital Des Moines ",iowa,1
Aromatic herb ,tarragon,12
Warn thief stealing slim biscuit - very slim ,wafer-thin,11
Group of bushes ,thicket,1
Back of the foot ,heel,1
Unit of power ,watt,1
Military land force ,army,1
Beam over door or window ,lintel,3
Inexpensive accommodation as for back-packers ,hostel,1
Not temporary ,permanent,1
"Destiny, kismet ",fate,1
Strong man of the Bible ,samson,1
Test ,quiz,3
