CLUE,ANS,POS,FOUND IN
Mythical story ,legend,2,Legendary yarn
Branch of linguistics concerned with meanings ,semantics,1,"Semantics is the subfield of linguistics that studies the meaning of language, including the meanings of words, phrases, sentences, and larger linguistic structures such as texts or discourses."
Performance by one person ,solo,1,Solo act
Synthetic fabric ,nylon,15,Nylon-based textile
Founder of Methodism ,wesley,1,John Wesley
Spin-stabilised device ,gyro,1,Gyroscope
Showing forgiveness ,merciful,9,Mercifully
Zodiac sign - tumour ,cancer,5,Cancer (June 21 - July 22)
Conservation organisation ,national trust,18,The National Trust (UK)
Pleasure boats ,yachts,1,Luxury yachts
