CLUE,ANS,POS
Hungarian ,magyar,9
Answer ,reply,3
Heretofore ,hitherto,2
Illegal state in football ,offside,1
Difficulties to be resolved,problems,4
"Of fruit, skinned ",peeled,1
Slimy substance ,goo,3
Obtained ,procured,6
Madness ,lunacy,2
Wait in line,queue,1
Wealth ,riches,1
"Accedes, acquiesces ",assents,10
Serious crime ,felony,19
Wages ,pay,2
Stage play ,drama,1
Extreme fear ,terror,1
Drowsy ,sleepy,1
Valuable ,precious,2
Believed to be guilty but without proof,suspected,1
Speak out against ,denounce,7
Not allowing light to pass through ,opaque,1
Of the nose ,nasal,1
Burnt residue ,ash,9
"Induces, prevails upon ",persuades,1
Destructive event ,catastrophe,1
Witch's cat is well acquainted ,familiar,1
Oriental ,eastern,2
