CLUE,ANS,POS
One bringing in goods to country ,importer,1
Completely ,thoroughly,5
Conforming to the accepted beliefs of a religion ,orthodox,6
Deny connection with ,disown,3
Artist's workplace,studio,1
Jolliest ,merriest,3
Holds dear or regards highly ,values,1
Amount left over ,excess,3
12am ,midnight,1
Native of London's East End ,cockney,1
Diminished,reduced,9
Ship's load ,cargo,1
Destructive insect,locust,2
"Fingers, toes and numbers",digits,3
Position affording a good view ,vantage point,2
Science of sound ,acoustics,1
Type of water lily ,lotus,1
Hemlocked philosopher ,socrates,1
Administrative body ,council,8
Takes without the owner's consent ,steals,1
French channel port ,calais,1
Purloin ,steal,1
