CLUE,ANS,POS
Heretofore ,hitherto,8
Illegal state in football ,offside,1
"Of fruit, skinned ",peeled,1
Obtained ,procured,9
Madness ,lunacy,8
Wife of Ferdinand V ,isabella,1
Thespian ,actor,1
Serious crime ,felony,1
Orange vegetable ,carrot,1
Levy on vehicles using public thoroughfares,road tax,1
Valuable ,precious,1
Believed to be guilty but without proof,suspected,1
Speak out against ,denounce,7
Not allowing light to pass through ,opaque,1
Of the nose ,nasal,3
"Induces, prevails upon ",persuades,1
Destructive event ,catastrophe,1
Oriental ,eastern,1
