CLUE,ANS,POS,FOUND IN
Very small amount of money,peanuts,10,Peanuts (slang for a very small amount)
Difficulties to be resolved,problems,3,Problems to solve
Slimy substance ,goo,16,Goop (a general term for sticky substances)
Wait in line,queue,1,Queued up
Wealth ,riches,20,Riches in abundance
Wages ,pay,3,Paycheck
Stage play ,drama,11,Dramatic irony moment
Extreme fear ,terror,7,In sheer terror
Burnt residue ,ash,1,Ashes
Entrance to warren,rabbit hole,3,Rabbit hole entry
Inveigle ,entice,4,Entice readily
Witch's cat is well acquainted ,familiar,1,Familiar feline familiar
