CLUE,ANS,POS
Heretofore ,hitherto,4
Illegal state in football ,offside,2
Slimy substance ,goo,3
Wait in line,queue,2
Serious crime ,felony,2
Wages ,pay,4
Northern black and white diving birds ,auks,3
Extreme fear ,terror,3
Levy on vehicles using public thoroughfares,road tax,19
Believed to be guilty but without proof,suspected,2
Lethargic ,languid,46
Not allowing light to pass through ,opaque,2
Of the nose ,nasal,2
Entrance to warren,rabbit hole,43
"Induces, prevails upon ",persuades,2
Destructive event ,catastrophe,43
Oriental ,eastern,2
