CLUE,ANS,POS
Trick ,hoax,11
Slab of clay ,tile,9
Meal course ,entree,4
Watery milk ,whey,9
Sleeveless apron-like dress,pinafore,1
US state ,iowa,15
Enunciation ,diction,3
Yellow-brown pigment ,sienna,6
Type of macaque ,rhesus,18
Chasm ,abyss,1
Tanned hide ,leather,1
"Eg, Vesuvius ",volcano,1
Costed ,priced,20
Test of knowledge,quiz,1
Consequence caused by something else ,effect,3
One of Montezuma's people,aztec,1
Surrender as a penalty ,forfeit,6
Pile,mound,3
Persistently annoying persons,pests,1
Cure ,remedy,2
Interminable ,endless,1
Athenian king ,theseus,17
Betrayer ,traitor,1
Angry ,irate,5
Unpunctuality ,tardiness,1
Cover on a car wheel ,hubcap,1
