CLUE,ANS,POS,FOUND IN
Promissory note ,iou,5,Monetary IOU
Accomplished ,achieved,2,Achieved goal
Canine guard ,watchdog,2,Watchdog breed
Homerian epic ,odyssey,17,Odyssey-like journey/quest
Counterpart of yang ,yin,6,Yin energy manifestation
Great poet of ``Paradise Lost'' ,milton,1,"Born on December 9, 1564, in London, England, Milton's extensive body of work includes over thirty individual volumes ranging from sonnets and elegies to prose writings such as political treatises and religious texts."
Talk incessantly ,chatter,1,Constantly chattering
Dreamlike ,surreal,3,Surrealistic
Many-headed foe of Hercules ,hydra,1,"Hydra: A multi-headed serpent in Greek mythology, known for its regenerative ability as each severed head would grow two more."
Mishap ,accident,1,Accidental incident
Man or beast ,animal,3,Animalistic individual
Porous substance to soak up ,sponge,15,Thirsty sponge
Of spring ,vernal,2,Vernal equinox
