CLUE,ANS,POS,FOUND IN
Young swan ,cygnet,1,"Cygnet - A young swan, specifically a mallard or other type of duck (not strictly true for all swans but commonly used)."
One eighth of a gallon ,pint,2,"Pint glass (one-sixth of a US liquid gallon, slightly more than one-eighth)"
"Speak indistinctly, as a drunk might ",slur,9,Slurred
Wholly engrossed ,absorbed,1,Absorbed - Completely focused or taken in by something.
Of little weight ,light,1,Lightweight
Commercial vehicle ,van,15,Vanpool (Van Pool Service)
Bacterium causing sore throats etc ,streptococcus,1,Streptococcus pyogenes
Get bigger ,grow,2,Growth
Discharge; give expression to,vent,3,Ventilation - Process of providing fresh air and removing stale air in a space.
Walk heavily ,stomp,1,"Stomp - to forcefully step on something with your feet, creating a loud noise or marking impression."
Furthest extent ,limit,11,Ultimate limit
Dismal ,drear,2,Dreary
Horned dinosaur ,triceratops,1,Triceratops - A well-known herbivorous ceratopsian dinosaur characterized by its three horns and large bony frill.
Scrubland ,heath,2,Heathlands
Polynesian garland ,lei,1,"Lei - A traditional Hawaiian and Polynesian garland made from flowers, leaves, shells, or nuts woven into intricate patterns."
One with no illusions ,realist,1,Realistic
