CLUE,ANS,POS
Home designer ,interior decorator,1
Stingy hoarder ,miser,1
Hitchcock's speciality ,suspense,1
"Solicitor, for example ",lawyer,4
Retain ,keep,5
"Unpredictable, temperamental",erratic,2
Of cattle ,bovine,1
Unmarried man ,bachelor,1
Building with many storeys,high-rise,3
Water bird ,grebe,15
Wooden or wire barrier ,fence,1
Subject ,topic,1
Puffed up with vanity ,pompous,12
Patches I assembled to work from several sources ,pastiche,11
Friendly ,sociable,10
Ought to ,should,1
Glass container in the laboratory ,test tube,3
Food from milk curd ,cheese,2
Aid to memory ,mnemonic,1
Accounts checker,auditor,1
Involving hard work ,laborious,1
With much to do ,busy,1
Bigotry ,bias,14
South American pack animal ,llama,2
House of ill-repute ,bordello,2
Not occupied ,vacant,3
